time	Sox9	Tgfb1	Tgfbr2	Cebpa	Tgfb2
17.5	0.123851641	0	0	1.179551791	0
17.5	1.005180513	0	0.762678564	0.551449998	0
17.5	0	0	0.787460475	0	0
17.5	0	0	0.780317312	1.468051791	0
17.5	0	0	0	1.146438135	0
17.5	0	0	0.824776462	1.40363519	0
17.5	0	0	0	1.194236749	0
17.5	0	0	0.721810615	1.373095987	0
17.5	0	0	0	1.360971884	0
17.5	0.845718018	0	0.593286067	1.144885418	0
17.5	0	0	0.822168079	1.518777069	0
17.5	0.919601024	0	1.465382851	1.748653093	0
17.5	0	0	0.149219113	1.662096445	0
17.5	0.130333768	0	1.158663981	1.11991541	0
17.5	1.064083436	0	1.126780577	1.121559844	0
17.5	0.123851641	0	1.348110068	1.370698093	0
17.5	0.309630167	0	0.689308859	1.540829814	0
17.5	2.746890964	0	0.539076099	0	0
17.5	2.400572524	0	1.445448514	0	0
