Gene	Expression
Sox9	0
Sox9	0.94792362
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.726727209
Sox9	1.222716471
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.971275849
Sox9	0
Sox9	0
Sox9	0
Sox9	0.503790683
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.575187845
Sox9	0
Sox9	0
Sox9	0.605305046
Sox9	1.299507299
Sox9	0
Sox9	0.77815125
Sox9	0.136720567
Sox9	1.172602931
Sox9	0
Sox9	0.693726949
Sox9	0.847572659
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.662757832
Sox9	0
Sox9	0
Sox9	0
Sox9	1.599992178
Sox9	1.803320524
Sox9	2.263470366
Sox9	2.219505937
Sox9	1.638589083
Sox9	1.534280005
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.133538908
Sox9	0.699837726
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.413299764
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.170261715
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	2.579954995
Sox9	0
Sox9	2.255658373
Sox9	0
Sox9	0
Sox9	0
Sox9	1.531861949
Sox9	1.957032316
Sox9	1.346157302
Sox9	2.417538119
Sox9	0
Sox9	2.470469295
Sox9	1.88570038
Sox9	0
Sox9	1.922621672
Sox9	2.069186925
Sox9	1.626237685
Sox9	0
Sox9	0.877371346
Sox9	0.617000341
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.64738297
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.139879086
Sox9	0
Sox9	0
Sox9	0
Sox9	0.498310554
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.222716471
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.11058971
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.133538908
Sox9	2.241347217
Sox9	2.583436834
Sox9	2.16124818
Sox9	1.894205259
Sox9	2.048830087
Sox9	0.787460475
Sox9	2.24137213
Sox9	2.243608461
Sox9	2.597640347
Sox9	2.042378598
Sox9	0.899820502
Sox9	0
Sox9	0
Sox9	0
Sox9	0.123851641
Sox9	2.274180949
Sox9	2.031691169
Sox9	0
Sox9	0.103803721
Sox9	0
Sox9	0.839478047
Sox9	0
Sox9	1.820004307
Sox9	0.11058971
Sox9	0
Sox9	0
Sox9	1.829175074
Sox9	1.619719266
Sox9	0
Sox9	0
Sox9	2.381024781
Sox9	2.279347492
Sox9	2.32756326
Sox9	1.888123307
Sox9	2.529443188
Sox9	1.219584526
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.113943352
Sox9	0
Sox9	0
Sox9	0.136720567
Sox9	0.130333768
Sox9	0.133538908
Sox9	1.084218687
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.350248018
Sox9	0
Sox9	2.737645791
Sox9	2.481127185
Sox9	2.739160796
Sox9	2.575638076
Sox9	2.3748766
Sox9	2.243831462
Sox9	2.506383251
Sox9	0.982723388
Sox9	2.737733186
Sox9	2.399673721
Sox9	0
Sox9	0
Sox9	2.104179719
Sox9	0.805500858
Sox9	2.521138084
Sox9	1.207634367
Sox9	1.788380515
Sox9	2.125838964
Sox9	2.668432512
Sox9	2.523668443
Sox9	2.925853333
Sox9	2.579634997
Sox9	2.12567641
Sox9	2.666265193
Sox9	2.647069852
Sox9	2.462457896
Sox9	2.33243846
Sox9	0.889301703
Sox9	1.537944959
Sox9	2.42737249
Sox9	2.408511315
Sox9	1.998520883
Sox9	2.47259557
Sox9	2.651471852
Sox9	1.781539969
Sox9	1.002166062
Sox9	2.780526127
Sox9	2.228451691
Sox9	0
Sox9	0.910624405
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.522444234
Sox9	0
Sox9	0
Sox9	1.326335861
Sox9	0
Sox9	0.315970345
Sox9	0
Sox9	0
Sox9	0
Sox9	0.949877704
Sox9	0
Sox9	0.123851641
Sox9	1.005180513
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.845718018
Sox9	0
Sox9	0.919601024
Sox9	0
Sox9	0.120573931
Sox9	0.130333768
Sox9	1.064083436
Sox9	0.123851641
Sox9	0.309630167
Sox9	2.746890964
Sox9	2.400572524
Sox9	2.125936467
Sox9	2.503313923
Sox9	0.776701184
Sox9	2.126910295
Sox9	2.093421685
Sox9	1.731508184
Sox9	2.156185573
Sox9	2.426966463
Sox9	2.047664195
Sox9	2.246793919
Sox9	1.950559562
Sox9	2.608558123
Sox9	2.556905269
Sox9	1.558228422
Sox9	2.727655102
Sox9	2.519407929
Sox9	2.086573366
Sox9	2.150357258
Sox9	2.536545818
Sox9	2.292123104
Sox9	2.102536607
Sox9	1.745855195
Sox9	2.006594386
Sox9	2.670208732
Sox9	2.627601377
Sox9	2.609743772
Sox9	0.57634135
Sox9	1.606273853
Sox9	2.256477206
Sox9	0.720159303
Sox9	2.34580487
Sox9	2.386106407
Sox9	2.803859812
Sox9	0.133538908
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.113943352
Sox9	1.599773939
Sox9	1.058426024
Sox9	0.906873535
Sox9	0
Sox9	1.369030222
Sox9	1.171433901
Sox9	1.218535505
Sox9	2.403686623
Sox9	1.030599722
Sox9	1.991403303
Sox9	1.618884485
Sox9	1.501470072
Sox9	1.23578087
Sox9	1.690727544
Sox9	2.269022335
Sox9	0.661812686
Sox9	1.018284308
Sox9	1.16790781
Sox9	1.249687428
Sox9	0.482873584
Sox9	0
Sox9	2.166814799
Sox9	1.845346137
Sox9	1.379486814
Sox9	0.10720997
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	1.771366971
Sox9	2.163459552
Sox9	1.933183479
Sox9	2.050650381
Sox9	2.190611798
Sox9	2.040285799
Sox9	1.812579155
Sox9	2.371732655
Sox9	1.69565676
Sox9	1.995196292
Sox9	1.314920056
Sox9	2.42772948
Sox9	2.58067413
Sox9	2.413232686
Sox9	2.565269161
Sox9	2.201096565
Sox9	2.496029699
Sox9	2.430913151
Sox9	2.365656429
Sox9	3.003843817
Sox9	2.074779882
Sox9	2.284430734
Sox9	1.605089462
Sox9	1.59439255
Sox9	1.619406411
Sox9	1.808683509
Sox9	1.320769228
Sox9	1.104828404
Sox9	1.408239965
Sox9	2.081347308
Sox9	0.507855872
Sox9	0.563481085
Sox9	0
Sox9	1.368472838
Sox9	2.078311787
Sox9	0
Sox9	1.164352856
Sox9	1.002597981
Sox9	1.665674781
Sox9	1.914713287
Sox9	1.388811413
Sox9	1.514414921
Sox9	1.36267093
Sox9	2.000824377
Sox9	1.976212377
Sox9	0.62838893
Tgfbr2	1.059941888
Tgfbr2	1.220369632
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.154728207
Tgfbr2	0.62324929
Tgfbr2	0
Tgfbr2	0.86923172
Tgfbr2	1.314709693
Tgfbr2	0.139879086
Tgfbr2	0
Tgfbr2	1.143951116
Tgfbr2	1.23578087
