Gene	Expression
Tgfbr2	0.878521796
Tgfbr2	0.798650645
Tgfbr2	0.630427875
Tgfbr2	0.999565488
Tgfbr2	0.696356389
Tgfbr2	1.096562438
Tgfbr2	1.50174373
Tgfbr2	0
Tgfbr2	0.762678564
Tgfbr2	0.787460475
Tgfbr2	0.780317312
Tgfbr2	0
Tgfbr2	0.824776462
Tgfbr2	0
Tgfbr2	0.721810615
Tgfbr2	0
Tgfbr2	0.593286067
Tgfbr2	0.822168079
Tgfbr2	1.465382851
Tgfbr2	0.149219113
Tgfbr2	1.158663981
Tgfbr2	1.126780577
Tgfbr2	1.348110068
Tgfbr2	0.689308859
Tgfbr2	0.539076099
Tgfbr2	1.445448514
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.136403448
Tgfbr2	1.60906055
Tgfbr2	1.316389751
Tgfbr2	1.651859269
Tgfbr2	1.124830149
Tgfbr2	1.084576278
Tgfbr2	1.350635608
Tgfbr2	0.798650645
Tgfbr2	1.035429738
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.180412633
Tgfbr2	1.270212855
Tgfbr2	1.129367596
Tgfbr2	0.854306042
Tgfbr2	1.225050696
Tgfbr2	0
Tgfbr2	0.875639937
Tgfbr2	0.815577748
Tgfbr2	0.966141733
Tgfbr2	0
Tgfbr2	0.380211242
Tgfbr2	0.843855423
Tgfbr2	1.246005904
Tgfbr2	1.05804623
Tgfbr2	1.387567779
Tgfbr2	0.758154622
Tgfbr2	1.264581729
Tgfbr2	1.184407485
Tgfbr2	0.978636948
Tgfbr2	1.073351702
Tgfbr2	1.186956335
Tgfbr2	0.583198774
Tgfbr2	0
Tgfbr2	1.324488233
Tgfbr2	0
Tgfbr2	1.29578694
Tgfbr2	1.804412059
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.606381365
Tgfbr2	0
Tgfbr2	1.36604921
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.316389751
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.948901761
Tgfbr2	0.871572936
Tgfbr2	1.526210004
Tgfbr2	0.850646235
Tgfbr2	1.379124146
Tgfbr2	1.685024785
Tgfbr2	1.538322333
Tgfbr2	1.805024844
Tgfbr2	1.042969073
Tgfbr2	0
Tgfbr2	1.585122186
Tgfbr2	1.768416088
Tgfbr2	1.289811839
Tgfbr2	1.370142847
Tgfbr2	1.369030222
Tgfbr2	1.282168778
Tgfbr2	1.756940236
Tgfbr2	1.371437317
Tgfbr2	1.621695462
Tgfbr2	1.329194415
