time	Sox9	Tgfb1	Tgfbr2	Cebpa	Tgfb2
11.5	0	0	0	1.45909079	0
11.5	0	0	0.487138375	1.456214155	0
11.5	0	0	1.142389466	0.944482672	0
11.5	0	0	0	1.294466226	0
11.5	0	0	0	1.188365926	0
11.5	0	0	1.131618664	0	0
11.5	0.611723308	0	1.18610838	1.487138375	0
11.5	0	0	1.410777233	1.203848464	0
11.5	0	0	1.201397124	1.312177356	0
11.5	0	0	0.931457871	1.122543524	0
11.5	0	0.267171728	0.939019776	1.132579848	0
11.5	1.525951341	0	0	0.741151599	0
11.5	1.21005085	0	1.070407322	0.235528447	0
11.5	0.982723388	0	0.881384657	0	0
11.5	1.080626487	0	1.28645647	1.263162465	0
11.5	1.3586961	0	0.643452676	1.07809415	0
11.5	0.541579244	0	1.01745073	1.685024785	0
11.5	1.373279893	0	0.26245109	1.605089462	0
11.5	0	0	1.303412071	0.769377326	0
11.5	0.442479769	0	0.721810615	1.385427515	0
11.5	0.492760389	0	1.587149498	1.016197354	0
11.5	0	0	0	0.794488047	0
11.5	2.181214548	0	1.649529566	1.493597449	0
11.5	0	0	0	0.989894564	0
11.5	1.214578954	0	1.627263417	1.725012725	0
11.5	0	0	0.485721426	1.219322508	0
11.5	0	0	0.830588669	0.79518459	0
11.5	0	0	1.491081413	1.35755372	0
11.5	0	0	1.433609843	1.507180977	0
11.5	0.63447727	0	1.259832699	1.203032887	0
11.5	0	0	0.737987326	1.008600172	0.882524538
11.5	0	0	1.752893155	0.505149978	0
11.5	0	0	0	1.031004281	0
11.5	1.359835482	0	1.077004327	1.107888025	0
11.5	0.837588438	0	1.241795431	1.712060142	0
11.5	0	0	1.062581984	1.053846427	0
11.5	0	0	1.005609445	1.439963936	0
11.5	0	0	0.123851641	1.236789099	0
11.5	0	0	0.725094521	0	0
11.5	0	0	1.498310554	1.285557309	0
11.5	0	0	1.271609301	0.437750563	0
11.5	0.94792362	0	0.982723388	1.125481266	0
11.5	0	0	1.32407658	1.227115083	0
11.5	0	0	1.2955671	0	0
11.5	0	0	1.235023159	1.145817714	0.851258349
11.5	0	0	1.449786847	1.176091259	0
11.5	0.726727209	0	1.370328008	1.644143051	0
11.5	1.222716471	0	1.33304403	1.481442629	0
12.5	0	0	1.549738731	1.438700533	0
12.5	0	0	1.037824751	0	0
12.5	0	0	1.021189299	0	0
12.5	0	0	1.4407517	1.450403086	0
12.5	0.971275849	0	0.951823035	1.035429738	0
12.5	0	0	0.984527313	1.41763774	0
12.5	0	0	0.281033367	1.496376054	0.57634135
12.5	0	0	1.079904468	1.106530854	0
12.5	0.503790683	0	1.457881897	0.827369273	0
12.5	0	0	1.453165393	1.108903128	0
12.5	0	0	0.710117365	1.36078269	0
12.5	0	0	1.076276255	1.239049093	0
12.5	0	0	1.60075515	0	0
12.5	0	0	1.34869419	0	0
12.5	0	0	0.788875116	0.990338855	0
12.5	0.575187845	0	1.596926814	0.235528447	0
12.5	0	0	1.078819183	0.953759692	0
12.5	0	0	0.954724791	1.266466895	0
